!Family,Genus,Species,Code,CommonName,Size,MinDepth,MaxDepth,commonname,TaxonomicNotes
Serranidae,Hypoplectrodes,dimidius,HypspB,Half-banded perch B,143,NA,NA,Half-banded perch B,Not in fishbase.org that I can see. FONZ refers to an as-yet-unpublished Roberts paper in Zootaxa with ""south pacific banded perches"" in the title. AKA H. sp. B.
Serranidae,Hypoplectrodes,huntii,Hyphun,Red-banded perch,200,0,100,Red-banded perch,NA
Serranidae,Trachypoma,macracanthus,Tramac,Toadstool grouper,300,NA,45,Toadstool grouper,NA
Sparidae,Chrysophrys,auratus,Pagaur,Snapper,1300,0,200,Snapper,FONZ has this as ""Chrysophrys auratus""
Thalasseleotrididae,Grahamichthys,radiata,Grarad,Graham's gudgeon,58,0,50,Graham's gudgeon,Te Papa says radiata; fishbase says radiatus
Thalasseleotrididae,Thalasseleotris,adela,Thasp.,Pygmy sleeper,32.6,1,20,Pygmy sleeper,NA
Tripterygiidae,Bellapiscis,lesleyae,Belles,Mottled twister,65,0,5,Mottled twister,NA
Tripterygiidae,Bellapiscis,medius,Belmed,Twister,85,0,5,Twister,NA
Tripterygiidae,Blennodon,dorsalis,Bledor,Giant triplefin,170,0,8,Giant triplefin,NA
Tripterygiidae,Enneapterygius,kermadecensis,Kertri,Kermadec triplefin,33,0,2,Kermadec triplefin,NA
Tripterygiidae,Forsterygion,capito,Gracap,Spotted/Mottled triplefin,91,0,12,Spotted/Mottled triplefin,NA
Tripterygiidae,Forsterygion,flavonigrum,Fstfla,Yellow-black triplefin,53,4,110,Yellow-black triplefin,NA
Tripterygiidae,Forsterygion,gymnotum,Gragym,Robust triplefin,90,0,7,Robust triplefin,NA
Tripterygiidae,Forsterygion,lapillum,Forlap,Common triplefin,84,0,20,Common triplefin,NA
Tripterygiidae,Forsterygion,malcolmi,Formal,Banded triplefin,130,2,35,Banded triplefin,NA
Tripterygiidae,Forsterygion,maryannae,Oblmar,Oblique-swimming triplefin,70,1,50,Oblique-swimming triplefin,NA
Tripterygiidae,Forsterygion,nigripenne,Granig,Estuarine triplefin,90,NA,NA,Estuarine triplefin,NA
Tripterygiidae,Forsterygion,varium,Forvar,Variable triplefin,133,0,33,Variable triplefin,NA
Tripterygiidae,Gilloblennius,abditus,Gilabd,Obscure triplefin,74,0,10,Obscure triplefin,NA
Tripterygiidae,Gilloblennius,tripennis,Giltri,Thripenny,113,0,20,Thripenny,NA
Tripterygiidae,Karalepis,stewarti,Karste,Scaly-headed triplefin,127,0,33,Scaly-headed triplefin,NA
Tripterygiidae,Notoclinops,caerulepunctus,Notcae,Blue dot triplefin,38,0,40,Blue dot triplefin,NA
Tripterygiidae,Notoclinops,segmentatus,Notseg,Blue-eyed triplefin,47,0,40,Blue-eyed triplefin,NA
Tripterygiidae,Notoclinops,yaldwyni,Notyal,Yaldwyn's triplefin,55,0,20,Yaldwyn's triplefin,NA
Tripterygiidae,Ruanoho,decemdigitatus,Ruadec,Long-finned triplefin,120,0,6,Long-finned triplefin,NA
Tripterygiidae,Ruanoho,whero,Ruawhe,Spectacled triplefin,102,0,21,Spectacled triplefin,NA
Congiopodidae,Congiopodus,leucopaecilus,Conleu,Pygmy scorpionfish,262,22,222,Pygmy scorpionfish,NA
Scorpaenidae,Pterois,volitans,Ptevol,Red lionfish,350,2,55,Red lionfish,NA
Scorpaenidae,Scorpaena,cardinalis,Scocar,Northern scorpionfish/Red rock cod,500,0,154,Northern scorpionfish/Red rock cod,NA
Scorpaenidae,Scorpaena,papillosa,Scopap,Dwarf/red scorpionfish,220,5,50,Dwarf/red scorpionfish,NA
Scorpaenidae,Scorpaenodes,scaber,Scosca,Pygmy scorpionfish,120,3,30,Pygmy scorpionfish,NA
Sebastidae,Helicolenus,percoides,Helper,Sea perch,430,50,750,Sea perch,NA
Triglidae,Chelidonichthys,kumu,Chekum,Bluefin gurnard,NA,NA,NA,Bluefin gurnard,NA
Aulostomidae,Aulostomus,chinensis,Aulchi,Chinese trumpetfish,760,3,122,Chinese trumpetfish,NA
Syngnathidae,Hippocampus,abdominalis,Hipabd,Seahorse,210,0,104,Seahorse,NA
Syngnathidae,Solegnathus,spinosissimus,Solspi,Spiny sea dragon,500,114,230,Spiny sea dragon,NA
Syngnathidae,Stigmatopora,macropterygia,Stimac,Smooth pipefish,400,NA,NA,Smooth pipefish,NA
Diodontidae,Allomycterus,pilatus,Alljac,Porcupinefish,500,40,270,Porcupinefish,NA
Monacanthidae,Meuschenia,scaber,Parsca,Leatherjacket,336,20,200,Leatherjacket,NA
Monacanthidae,Thamnaconus,analis,Thaana,Morse code/Darkvent leatherjacket,223,46,360,Morse code/Darkvent leatherjacket,NA
Ostraciidae,Ostracion,cubicus,Ostcub,Yellow boxfish,450,1,280,Yellow boxfish,Te Papa says cubicus; fishbase says cubica
Tetraodontidae,Canthigaster,callisterna,Cancal,Clown toado,170,NA,250,Clown toado,NA
Zeidae,Zeus,faber,Zeufab,John dory,900,5,400,John dory,NA
