!Family,Genus,Species,Code,CommonName,Size,MinDepth,MaxDepth,TaxonomicNotes
Pinguipedidae,Parapercis,gilliesii,Pargil,Yellow weever,NA,NA,NA,NA
Pinguipedidae,Parapercis,nigrodorsalis,Parnig,NA,NA,NA,NA,NA
Pomacentridae,Chromis,abyssicola,Chraby,Deepsea chromis,NA,NA,NA,NA
Pomacentridae,Chromis,dispilus,Chrdis,Demoiselle,170,0,60,NA
Pomacentridae,Chromis,hypsilepis,Chrhyp,Singlespot demoiselle,150,3,46,NA
Pomacentridae,Chrysiptera,rapanui,Chrrap,Easter/Kermedec damselfish,61,3,38,NA
Pomacentridae,Parma,alboscapularis,Paralb,Black angelfish,230,5,40,NA
Pomacentridae,Parma,kermadecensis,Parker,Kermadec scalyfin,221,3,20,NA
Pomacentridae,Stegastes,fasciolatus,Stefas,Pacific gregory,160,1,30,NA
Serranidae,Acanthistius,cinctus,Acacin,Yellowbanded perch,450,30,NA,NA
Serranidae,Aulacocephalus,temminckii,Aultem,Gold-ribbon grouper,350,20,350,Corrected from A. temmincki
Serranidae,Caesioperca,lepidoptera,Caelep,Butterfly perch,318,10,140,NA
Serranidae,Caprodon,longimanus,Caplon,Pink maomao,440,0,400,NA
Serranidae,Epinephelus,daemelii,Epidae,Spotted black grouper,1700,NA,50,NA
Serranidae,Hypoplectrodes,coronatus,HypspA,Half-banded perch A/eyebrow perch,470,NA,NA,Not in fishbase.org that I can see. FONZ refers to an as-yet-unpublished Roberts paper in Zootaxa with ""south pacific banded perches"" in the title. AKA H. sp. A.
Serranidae,Hypoplectrodes,dimidius,HypspB,Half-banded perch B,143,NA,NA,Not in fishbase.org that I can see. FONZ refers to an as-yet-unpublished Roberts paper in Zootaxa with ""south pacific banded perches"" in the title. AKA H. sp. B.
Serranidae,Hypoplectrodes,huntii,Hyphun,Red-banded perch,200,0,100,NA
Serranidae,Trachypoma,macracanthus,Tramac,Toadstool grouper,300,NA,45,NA
Serranidae,Plectranthias,maculicauda,Plemac,Tailspot perchlet,NA,NA,NA,NA
Sparidae,Chrysophrys,auratus,Pagaur,Snapper,1300,0,200,FONZ has this as ""Chrysophrys auratus""
Thalasseleotrididae,Grahamichthys,radiata,Grarad,Graham's gudgeon,58,0,50,Te Papa says radiata; fishbase says radiatus
Thalasseleotrididae,Thalasseleotris,adela,Thasp.,Pygmy sleeper,32.6,1,20,NA
Tripterygiidae,Bellapiscis,lesleyae,Belles,Mottled twister,65,0,5,NA
Tripterygiidae,Bellapiscis,medius,Belmed,Twister,85,0,5,NA
Tripterygiidae,Blennodon,dorsalis,Bledor,Giant triplefin,170,0,8,NA
Tripterygiidae,Enneapterygius,kermadecensis,Kertri,Kermadec triplefin,33,0,2,NA
Tripterygiidae,Forsterygion,capito,Gracap,Spotted/Mottled triplefin,91,0,12,NA
Tripterygiidae,Forsterygion,flavonigrum,Fstfla,Yellow-black triplefin,53,4,110,NA
Tripterygiidae,Forsterygion,gymnotum,Gragym,Robust triplefin,90,0,7,NA
Tripterygiidae,Forsterygion,lapillum,Forlap,Common triplefin,84,0,20,NA
Tripterygiidae,Forsterygion,malcolmi,Formal,Banded triplefin,130,2,35,NA
Tripterygiidae,Forsterygion,maryannae,Oblmar,Oblique-swimming triplefin,70,1,50,NA
Tripterygiidae,Forsterygion,nigripenne,Granig,Estuarine triplefin,90,NA,NA,NA
Tripterygiidae,Forsterygion,varium,Forvar,Variable triplefin,133,0,33,NA
Tripterygiidae,Gilloblennius,abditus,Gilabd,Obscure triplefin,74,0,10,NA
Tripterygiidae,Gilloblennius,tripennis,Giltri,Thripenny,113,0,20,NA
Tripterygiidae,Karalepis,stewarti,Karste,Scaly-headed triplefin,127,0,33,NA
Tripterygiidae,Notoclinops,caerulepunctus,Notcae,Blue dot triplefin,38,0,40,NA
Tripterygiidae,Notoclinops,segmentatus,Notseg,Blue-eyed triplefin,47,0,40,NA
Tripterygiidae,Notoclinops,yaldwyni,Notyal,Yaldwyn's triplefin,55,0,20,NA
Tripterygiidae,Ruanoho,decemdigitatus,Ruadec,Long-finned triplefin,120,0,6,NA
Tripterygiidae,Ruanoho,whero,Ruawhe,Spectacled triplefin,102,0,21,NA
Congiopodidae,Congiopodus,leucopaecilus,Conleu,Pygmy scorpionfish,262,22,222,NA
Scorpaenidae,Pterois,volitans,Ptevol,Red lionfish,350,2,55,NA
Scorpaenidae,Scorpaena,cardinalis,Scocar,Northern scorpionfish/Red rock cod,500,0,154,NA
Scorpaenidae,Scorpaena,papillosa,Scopap,Dwarf/red scorpionfish,220,5,50,NA
Scorpaenidae,Scorpaenodes,scaber,Scosca,Pygmy scorpionfish,120,3,30,NA
Sebastidae,Helicolenus,percoides,Helper,Sea perch,430,50,750,NA
Triglidae,Chelidonichthys,kumu,Chekum,Bluefin gurnard,NA,NA,NA,NA
Aulostomidae,Aulostomus,chinensis,Aulchi,Chinese trumpetfish,760,3,122,NA
Syngnathidae,Hippocampus,abdominalis,Hipabd,Seahorse,210,0,104,NA
Syngnathidae,Solegnathus,spinosissimus,Solspi,Spiny sea dragon,500,114,230,NA
Syngnathidae,Stigmatopora,macropterygia,Stimac,Smooth pipefish,400,NA,NA,NA
Diodontidae,Allomycterus,pilatus,Alljac,Porcupinefish,500,40,270,NA
Monacanthidae,Meuschenia,scaber,Parsca,Leatherjacket,336,20,200,NA
Monacanthidae,Thamnaconus,analis,Thaana,Morse code/Darkvent leatherjacket,223,46,360,NA
Ostraciidae,Ostracion,cubicus,Ostcub,Yellow boxfish,450,1,280,Te Papa says cubicus; fishbase says cubica
Tetraodontidae,Canthigaster,callisterna,Cancal,Clown toado,170,NA,250,NA
Zeidae,Zeus,faber,Zeufab,John dory,900,5,400,NA
